"","Country","NUTS_ID","Region name","Basic Human Needs","Foundations of Well-Being","Opportunity","Aggregated Index"
"85","EL","EL52","Kentriki Makedonia",75.6138947191578,49.2542558113479,44.7623982632202,55.7721858784026
"86","EL","EL53","Dytiki Makedonia",75.5592717054781,53.1376038603863,42.6006063673768,56.2947692444718
"87","EL","EL54","Ipeiros",76.8634081584488,57.5156709322527,44.4798054691438,58.8821151922073
"88","EL","EL61","Thessalia",78.2664680326524,52.0753125817892,39.5565790786639,55.5152082388341
"89","EL","EL62","Ionia Nisia",76.5825505541548,56.7122669380038,38.9599601962983,56.3685215426651
"90","EL","EL63","Dytiki Ellada",73.0587867507312,52.9323656403766,40.8300425847869,54.82289613474
"91","EL","EL64","Sterea Ellada",76.5650616564784,47.9942897967425,36.5434921883603,52.4323651036901
"92","EL","EL65","Peloponnisos",75.4180440210563,52.9569941101285,35.6574907129428,53.4502397415048
"93","ES","ES11","Galicia",82.4538761895484,67.799891747492,56.951733220754,68.6750201083899
"94","ES","ES12","Principado de Asturias",81.2353500362779,67.997206017204,57.336729040864,68.5098843651901
"95","ES","ES13","Cantabria",82.0140032381163,72.1550914981727,58.2897736352528,70.4779703644166
"96","ES","ES21","País Vasco",86.2962302210533,72.4107348387718,63.8831142924047,73.9125211222896
"97","ES","ES22","Comunidad Foral de Navarra",86.1975243817546,72.6438970803992,62.9365407640786,73.6201551137316
"98","ES","ES23","La Rioja",85.3890753933413,67.8919805858911,62.7585446741606,71.6974782093599
"99","ES","ES24","Aragón",86.1533695147635,67.6661930522966,59.742082674364,70.7680842356127
"100","ES","ES30","Comunidad de Madrid",84.0353160461369,63.4356955996049,62.6265569240092,69.6970347549514
"101","ES","ES41","Castilla y León",83.6462014159007,67.8433974658117,56.395355140144,68.8469804771509
"102","ES","ES42","Castilla-La Mancha",82.30953137774,58.6960840244671,51.0799862282927,63.3659695969048
"103","ES","ES43","Extremadura",81.3631382965757,60.9839110747135,52.2982624397395,64.3264160426528
"104","ES","ES51","Cataluña",80.8001232145755,63.2631255184139,58.1869626735687,67.0801340067419
"105","ES","ES52","Comunidad Valenciana",82.0921912520348,63.9193732291282,58.3826661092373,67.7674068650866
"106","ES","ES53","Illes Balears",79.9354158187511,62.6445792707953,54.3422844671271,65.2175530048551
"107","ES","ES61","Andalucía",78.6802200717865,57.2600330026272,51.2306337024404,61.8570761823138
"108","ES","ES62","Región de Murcia",81.3356845682522,60.0266133127963,55.5227178864337,65.1661766604244
"109","ES","ES63","Ciudad Autónoma de Ceuta",78.7051418176395,58.0993578115622,50.8558655884538,62.0167546897856
"110","ES","ES64","Ciudad Autónoma de Melilla",78.54926482987,59.8887226560237,51.4008282686459,62.7845982766176
"111","ES","ES70","Canarias",80.542265882189,68.145155813153,54.7871379521594,67.411629549051
"112","FI","FI19","Länsi-Suomi",87.969706152385,82.427825945183,78.3796882995436,82.8793215755287
"113","FI","FI1B","Helsinki-Uusimaa",87.188226534535,82.3421868257048,81.8332260784664,83.7706669092427
"114","FI","FI1C","Etelä-Suomi",87.9895903669902,81.1542582718137,76.5545619169429,81.8324612171452
"115","FI","FI1D","Pohjois- ja Itä-Suomi",87.9290913521352,81.8863583082274,77.3865341278359,82.3442580839744
"116","FI","FI20","Åland",91.0992725506296,78.785526130996,75.1323222480979,81.532504186753
"117","FR","FR10","Île de France",75.9546364387161,69.8040120130051,67.9446379717231,71.1938194227773
"118","FR","FRB0","Centre - Val de Loire",83.9906085736835,69.686195985275,63.8336625778529,72.2616851534568
"119","FR","FRC1","Bourgogne",82.8635219434095,69.3501785289432,64.6694061962102,72.0933722012554
"120","FR","FRC2","Franche-Comté",83.6766915881861,68.6551621022341,64.3425500735701,71.9936317286826
"121","FR","FRD1","Basse-Normandie",81.418648065233,70.4210379650474,63.7473928012712,71.6796414698913
"122","FR","FRD2","Haute-Normandie",79.3661654251636,68.6028182457241,63.5473232843226,70.3535579513394
"123","FR","FRE1","Nord-Pas de Calais",80.8686544328632,66.2106491443728,64.7474050699169,70.4271741522842
"124","FR","FRE2","Picardie",80.4760722584882,65.2062631557504,60.375832094916,68.4263913958106
"125","FR","FRF1","Alsace",83.833296980556,67.4518183528513,67.3982270528006,72.6960886986222
"126","FR","FRF2","Champagne-Ardenne",81.0952863797918,65.5314301311641,62.9938279639396,69.6518535748784
"127","FR","FRF3","Lorraine",82.2519789452796,68.1392654464768,65.6981244028859,71.8503558705197
"128","FR","FRG0","Pays de la Loire",82.3251156909487,73.0618178742677,69.1169919136813,74.7337338271294
"129","FR","FRH0","Bretagne",81.9771188737445,74.2282710730304,70.4705670457405,75.4835427197448
"130","FR","FRI1","Aquitaine",82.6948501972635,71.6957839900445,70.2509127238635,74.7797689938149
"131","FR","FRI2","Limousin",84.9800218142969,71.9336598464401,69.7876351208836,75.421881506636
"132","FR","FRI3","Poitou-Charentes",85.3552582311739,70.9095799748762,65.9023205808813,73.8316176230206
"133","FR","FRJ1","Languedoc-Roussillon",79.7381843708027,67.3481827709647,64.9710068449631,70.5413941340238
"134","FR","FRJ2","Midi-Pyrénées",82.6410267127555,72.2436720612391,69.9068107981514,74.830389372688
"135","FR","FRK1","Auvergne",83.8254194828981,71.3423880916513,67.9610019880943,74.2234568774958
"136","FR","FRK2","Rhône-Alpes",82.8448454531475,69.4318623817544,71.5597566683464,74.4987226677624
"137","FR","FRL0","Provence-Alpes-Côte d’Azur",77.2536336015209,65.1468336411359,65.5877530723835,69.2190170475015
"138","FR","FRM0","Corse",78.8110357129063,62.9950968566927,59.2190935432722,66.7483408832719
"139","FR","FRY1","Guadeloupe",73.3041228126728,71.2461818446304,50.0278552742128,64.4036490102058
"140","FR","FRY2","Martinique",65.4087803267693,74.2788844505321,54.5809437833687,64.5022136373623
"141","FR","FRY3","Guyane",56.2921297197488,52.3799235841071,37.6760246801682,48.4336454065658
"142","FR","FRY4","La Réunion",76.1056098046151,66.1129366226945,51.3591623185086,64.1140231540786
"143","FR","FRY5","Mayotte",59.2717405576748,40.36273698691,45.8307138852541,48.1720220551629
"144","HR","HR03","Jadranska Hrvatska",80.2156991459066,61.9538453504249,39.6995397654777,59.4346187533146
